Country ,BD_2014,IR_2014,CBF_2014,GER_2014,TPD_2014,NERV_2014
Benin,-1.9,-1.1,0,5,30.9,0.1
Burkina Faso ,-1.85,-0.3,0,5,30.79,0.09
Cabo Verde,-7.2,-0.2,0,5.4,115,0.1
Cote D'Ivoire ,2.2,0.4,0,5,36.9,0.1
Gambia ,-9.6,6.9,40.8,3.7,104.1,-16.5
Ghana ,-6.4,17,13.7,3,70.2,-31.5
Guinea,-3.56,9.7,0,3.2,73.5,-1.5
Guinea Bissau,2.6,-1,0,5,53.3,0.1
Liberia,0.2,9.8,0,2.5,37.9,-9
Mail,-3.8,0.9,0,5,27.1,0.1
Niger,-8.1,0.9,0,5,25.6,0.1
Nigeria ,-1,8,0,6,12.5,-1.9
Senegal,-5.2,1.1,0,5,35.4,0.1
Sierra Leone,-3.3,7.2,7.2,3.6,35.4,-4
Togo,-3.4,0.2,0,5,66.9,0.1